Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;86;121;52;52;55;7.0;24.0;16.0;17.0;17.0;97;32;22763;0;0;6960;10140;5700;360;2595.0;324.0;3844;0.0;17.0;13.0;19.0;0;4.0;58.0;0;0;0;0;15.951923076923077;2.4002396021916215;9.0;23.0;32.875757575757575;27.543569125726147;1;93
1;1;77;118;46;54;55;7.0;22.0;14.0;17.0;18.0;98;33;24864;0;0;6480;12360;6060;60;2682.0;412.0;2388;0.0;17.0;14.0;20.0;0;11.0;59.0;0;0;0;0;15.48995983935743;2.873661657831055;7.0;26.0;33.16231884057971;27.445593619299476;1;97
2;2;81;157;54;55;55;8.0;25.0;16.0;18.0;17.0;99;44;22020;0;0;9660;7200;5160;60;2937.0;667.0;4902;0.0;18.0;13.0;21.0;0;15.0;62.0;0;0;0;0;16.459119496855347;2.4921061244268947;8.0;24.0;44.30456852791878;28.19896008165777;6;99
3;3;81;114;55;56;55;8.0;22.0;16.0;17.0;17.0;95;24;23068;0;0;6840;9540;6720;120;2660.0;390.0;3958;0.0;17.0;14.0;19.0;0;13.0;61.0;0;0;0;0;16.330258302583026;2.236845005590739;8.0;21.0;24.13960113960114;18.917135205926794;4;92
4;4;80;126;53;54;55;7.0;23.0;17.0;17.0;17.0;98;23;23564;0;0;6780;10260;6540;60;2451.0;181.0;1498;0.0;17.0;14.0;20.0;0;16.0;60.0;0;0;0;0;17.07266435986159;2.2861657422069177;7.0;22.0;23.04255319148936;16.95592841382713;2;94
5;5;75;146;45;55;55;8.0;23.0;16.0;17.0;17.0;96;24;22080;0;0;4800;11580;5700;180;2699.0;429.0;5283;0.0;17.0;15.0;20.0;0;11.0;60.0;0;0;0;0;16.669001751313484;2.1931438026384007;9.0;22.0;23.76750700280112;16.105369346779025;1;95
6;6;48;160;52;53;54;8.0;22.0;15.0;17.0;17.0;97;31;21231;0;420;6060;11040;4140;720;2836.0;566.0;5849;0.0;17.0;13.0;20.0;1;13.0;60.0;0;0;0;0;16.061567164179106;2.398292413201592;8.0;21.0;30.87150837988827;21.46493108397681;2;95
7;7;76;150;51;54;54;8.0;23.0;15.0;17.0;17.0;99;47;13031;0;0;5580;3900;3600;0;3357.0;1087.0;7794;0.0;17.0;12.0;22.0;0;17.0;60.0;0;0;0;0;15.649819494584838;2.7084787922632545;8.0;22.0;47.110410094637224;32.01277030511179;5;99
8;8;82;152;54;56;55;6.0;23.0;15.0;17.0;16.0;99;43;24660;0;0;4920;12300;7440;60;3376.0;1106.0;4775;0.0;17.0;14.0;20.0;0;25.0;64.0;0;0;0;0;15.915;2.7375977912517877;6.0;22.0;43.261971830985914;29.612361171309043;4;97
9;9;62;168;55;57;55;7.0;24.0;14.0;16.0;19.0;100;40;25380;0;0;6840;9300;9240;0;6012.0;3742.0;12258;0.0;16.0;9.0;22.0;0;15.0;64.0;0;0;0;0;14.623836126629422;2.903800533334087;7.0;23.0;37.29081632653061;36.77721285045805;3;100
10;10;95;152;59;63;56;7.0;24.0;16.0;19.0;18.0;99;37;23100;0;0;3120;16020;3960;600;3255.0;985.0;6978;0.0;19.0;15.0;23.0;1;35.0;73.0;0;0;0;0;16.995114006514658;3.0202857421444764;9.0;24.0;36.97493036211699;23.280939779754956;8;97
11;11;91;125;56;57;56;7.0;24.0;17.0;18.0;18.0;94;18;28611;0;0;4380;17280;6960;60;2560.0;290.0;6342;0.0;18.0;14.0;22.0;0;12.0;64.0;0;0;0;0;17.23106796116505;2.1531205227930323;7.0;22.0;17.85885885885886;10.837368114387637;4;76
12;12;82;129;53;55;56;8.0;23.0;16.0;18.0;17.0;94;19;30888;0;0;4260;17460;9180;0;2677.0;407.0;6384;0.0;18.0;14.0;20.0;0;14.0;62.0;0;0;0;0;16.830148619957537;2.2706527441451385;8.0;22.0;18.389830508474578;13.22249873710066;2;93
13;13;90;151;50;54;57;7.0;23.0;15.0;17.0;17.0;99;39;23520;0;0;6300;11400;5820;540;2874.0;604.0;5354;0.0;17.0;11.0;21.0;0;14.0;60.0;0;0;0;0;15.804537521815009;2.498903145924385;7.0;23.0;39.40845070422535;28.335802001434004;3;97
14;14;71;132;52;54;57;8.0;22.0;16.0;17.0;17.0;96;25;26400;0;0;6480;13800;6120;0;2734.0;464.0;6502;0.0;17.0;12.0;20.0;0;12.0;59.0;0;0;0;0;16.33837429111531;2.060718670815215;9.0;22.0;25.448377581120944;19.098707010218053;5;94
15;15;84;140;50;51;56;6.0;25.0;16.0;17.0;17.0;99;38;19200;0;0;5580;8880;4740;0;3079.0;809.0;7957;0.0;17.0;14.0;19.0;0;10.0;59.0;0;0;0;0;16.31645569620253;2.7274043768787353;7.0;25.0;39.117302052785924;29.726678081960817;1;95
16;16;84;135;52;53;55;7.0;24.0;16.0;17.0;17.0;99;22;23661;0;0;6480;11520;5700;360;2966.0;696.0;7355;0.0;17.0;14.0;19.0;0;10.0;58.0;0;0;0;0;16.247311827956988;2.333744575028082;8.0;23.0;21.849122807017544;23.676215934665706;3;99
17;17;74;133;49;51;54;7.0;23.0;16.0;17.0;17.0;99;27;23940;0;0;6060;12180;5700;180;2615.0;345.0;4873;0.0;17.0;15.0;19.0;0;7.0;58.0;0;0;0;0;16.034358047016276;2.6345689097377516;8.0;23.0;27.388571428571428;23.643250579376428;2;96
18;18;73;177;51;53;53;8.0;26.0;17.0;17.0;18.0;99;39;21203;0;0;8460;7860;4920;420;3433.0;1163.0;8191;0.0;17.0;11.0;21.0;0;19.0;60.0;0;0;0;0;16.994274809160306;2.3284593505965887;8.0;25.0;39.63949843260188;28.36813205628545;3;97
19;19;96;113;55;58;53;8.0;23.0;16.0;18.0;17.0;99;20;21240;0;0;4740;12180;4320;420;2454.0;184.0;5104;0.0;18.0;14.0;22.0;0;19.0;68.0;0;0;0;0;17.02047781569966;2.1881445481277124;8.0;22.0;19.46814404432133;11.46690814596527;3;86
20;20;84;115;49;51;53;9.0;23.0;16.0;17.0;17.0;97;18;29202;0;0;7920;12000;9300;120;2535.0;265.0;5905;0.0;17.0;14.0;20.0;0;7.0;57.0;0;0;0;0;16.148076923076925;2.1792721424837964;9.0;21.0;18.087087087087088;15.752446254039713;1;95
21;21;84;121;51;53;53;9.0;22.0;15.0;17.0;17.0;96;23;24761;0;0;6420;11100;7260;0;2523.0;253.0;4831;0.0;17.0;11.0;21.0;0;14.0;58.0;0;0;0;0;15.834879406307978;2.3316425716503195;9.0;21.0;23.744868035190617;19.361569966082303;2;88
