Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;6;79;140;62;73;73;7.0;20.0;14.0;0.0;13.0;87;38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2949.0;768.0;5179;0.0;13.0;10.0;20.0;0.0;8.0;61.0;0.0;0.0;0;0;14.43;2.526875541058562;9.0;20.0;37.04;17.105507884889008;8;74
1;7;72;183;55;57;65;7.0;24.0;14.0;13.0;13.0;95;23;22004.0;0.0;0.0;4440.0;11580.0;6000.0;60.0;3411.0;1230.0;12525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.16666666666667;20.724381776062707;55;183;14.00561797752809;2.466624839988814;8.0;24.0;23.046153846153846;19.096218529598406;1;88
2;8;73;195;57;59;63;7.0;21.0;15.0;13.0;13.0;97;25;21960.0;0.0;0.0;4200.0;15180.0;2580.0;1800.0;3066.0;885.0;8999;0.0;13.0;9.0;19.0;1.0;16.0;64.0;0.0;0.0;0;0;14.338461538461539;2.4148701068869305;7.0;21.0;24.4874213836478;16.33180422365497;3;96
3;9;77;120;51;55;61;8.0;23.0;15.0;13.0;12.0;94;28;20160.0;4260.0;0.0;4200.0;11820.0;4140.0;120.0;2580.0;399.0;6482;0.0;13.0;11.0;19.0;0.0;9.0;60.0;74.25833333333334;12.489214791615648;51;120;14.39708265802269;2.323760277970245;8.0;21.0;27.71025641025641;20.323427114486464;1;90
4;10;84;98;50;51;59;7.0;23.0;15.0;12.0;13.0;87;20;21162.0;0.0;0.0;3780.0;12000.0;5400.0;120.0;2268.0;87.0;2258;0.0;12.0;10.0;17.0;0.0;7.0;57.0;67.51805555555555;9.942596720800314;50;98;14.175757575757576;2.319747936023445;8.0;21.0;20.153658536585365;15.437467844318846;1;83
5;11;89;102;51;51;58;7.0;22.0;14.0;13.0;13.0;95;24;25590.0;0.0;0.0;4860.0;15000.0;5760.0;1500.0;2373.0;192.0;3829;0.0;13.0;9.0;18.0;2.0;7.0;56.0;0.0;0.0;0;0;13.961414790996784;2.1551829231993365;7.0;21.0;23.49736842105263;18.367233222036653;1;93
6;12;59;99;51;52;57;6.0;21.0;15.0;13.0;14.0;86;20;28020.0;0.0;0.0;5460.0;16500.0;6060.0;1260.0;2568.0;387.0;12775;0.0;13.0;10.0;19.0;2.0;12.0;57.0;0.0;0.0;0;0;13.913439635535308;2.195828881926452;8.0;21.0;19.533834586466167;15.466942129256875;1;84
7;13;94;111;55;57;55;7.0;23.0;15.0;14.0;13.0;95;38;17580.0;0.0;0.0;5220.0;10380.0;1980.0;1260.0;2694.0;513.0;11475;0.0;14.0;11.0;19.0;2.0;25.0;63.0;0.0;0.0;0;0;14.952965235173824;2.656903728807139;7.0;21.0;37.37919463087248;20.14529030565287;7;85
8;14;78;184;50;51;54;6.0;23.0;15.0;13.0;13.0;99;24;31020.0;0.0;0.0;3960.0;18000.0;9060.0;180.0;3340.0;1159.0;12809;0.0;13.0;9.0;18.0;0.0;9.0;57.0;75.72638888888889;22.489228860449046;50;184;13.897003745318353;2.4484709001843665;8.0;21.0;24.323353293413174;23.24866088760384;1;98
9;15;84;162;54;55;53;8.0;24.0;15.0;13.0;13.0;92;35;22800.0;0.0;0.0;4860.0;13800.0;4140.0;360.0;3068.0;887.0;8928;0.0;13.0;9.0;18.0;0.0;14.0;60.0;77.1375;15.553821765976933;54;162;14.404805914972274;2.6767802494640183;8.0;23.0;34.69476744186046;19.701917521289246;3;87
10;16;90;145;52;54;53;7.0;23.0;15.0;13.0;13.0;99;25;26400.0;0.0;0.0;4200.0;16680.0;5520.0;480.0;3502.0;1321.0;9997;0.0;13.0;10.0;20.0;0.0;15.0;59.0;77.45416666666667;19.60564287746997;52;145;13.896946564885496;2.329873663360532;8.0;21.0;24.673076923076923;19.297656115657816;2;94
11;17;82;105;54;56;54;7.0;23.0;15.0;13.0;13.0;96;26;28980.0;6060.0;0.0;4260.0;16920.0;7800.0;360.0;2399.0;218.0;3378;0.0;13.0;10.0;19.0;0.0;16.0;60.0;70.73574408901251;11.332243275677023;54;105;14.325396825396826;2.302618816469234;9.0;22.0;25.275252525252526;16.85896619303352;2;93
