Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;2;89;101;41;42;42;6.0;22.0;12.0;0.0;12.0;81;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1797.0;70.0;4716;0.0;12.0;7.0;17.0;2.0;8.0;47.0;58.67567567567568;13.144835701694543;41;101;11.702602230483272;2.1934408629991777;6.0;22.0;12.137142857142857;20.3902930086743;0;77
1;3;63;133;36;40;41;6.0;22.0;12.0;12.0;12.0;99;28;26940.0;0.0;0.0;6060.0;14640.0;6240.0;2160.0;2033.0;306.0;13222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;12.061269146608316;2.1912320125472213;7.0;21.0;28.138513513513512;25.14520808588089;1;98
2;4;82;124;40;42;41;6.0;21.0;12.0;12.0;12.0;96;24;23100.0;0.0;0.0;600.0;17700.0;4800.0;240.0;1894.0;167.0;13058;0.0;12.0;9.0;16.0;0.0;21.0;47.0;0.0;0.0;0;0;12.191806331471136;2.072810571311551;7.0;21.0;24.245714285714286;19.0054780502456;5;93
3;5;44;131;41;42;42;7.0;24.0;14.0;12.0;15.0;98;37;25860.0;0.0;0.0;2160.0;17700.0;6000.0;660.0;1988.0;261.0;9326;0.0;12.0;9.0;16.0;1.0;13.0;48.0;0.0;0.0;0;0;12.74430823117338;2.5860561706879577;7.0;23.0;36.4031007751938;28.735860078791458;2;96
4;6;69;122;49;58;45;7.0;21.0;14.0;15.0;15.0;99;52;28440.0;0.0;0.0;4320.0;22080.0;2040.0;4200.0;2192.0;465.0;11998;0.0;15.0;10.0;20.0;5.0;41.0;63.0;75.24861111111112;14.401123538880526;49;122;14.712680577849117;2.320807486445448;8.0;20.0;51.649616368286445;21.420942345111033;11;97
5;7;71;144;53;49;46;5.0;23.0;14.0;15.0;15.0;98;48;27960.0;0.0;0.0;3000.0;21060.0;3900.0;60.0;2194.0;467.0;10062;0.0;15.0;9.0;19.0;0.0;31.0;61.0;0.0;0.0;0;0;14.314285714285715;2.356945638695168;5.0;22.0;47.353233830845774;22.689108044846016;11;97
6;8;92;119;46;47;46;8.0;23.0;13.0;15.0;11.0;98;38;30660.0;0.0;2340.0;4140.0;22560.0;3960.0;1740.0;1951.0;224.0;6391;0.0;15.0;8.0;21.0;2.0;29.0;63.0;0.0;0.0;0;0;13.814814814814815;2.248416123223709;8.0;21.0;37.874233128834355;24.91863099016835;6;94
7;9;85;99;40;41;46;7.0;22.0;13.0;11.0;12.0;90;21;29018.0;0.0;0.0;3660.0;18420.0;6960.0;0.0;1744.0;17.0;557;0.0;11.0;8.0;17.0;0.0;14.0;46.0;0.0;0.0;0;0;11.902234636871508;2.397378813203249;8.0;20.0;21.54022988505747;23.346533834656203;1;87
8;10;88;123;42;44;46;7.0;19.0;12.0;12.0;12.0;98;32;27900.0;0.0;0.0;3780.0;19020.0;5100.0;120.0;2007.0;280.0;13275;0.0;12.0;8.0;20.0;0.0;16.0;52.0;65.47638888888889;15.219486714366074;42;123;11.94921875;2.0552332628313597;7.0;19.0;32.087078651685395;22.366476504827595;2;94
9;11;90;141;40;43;46;7.0;23.0;13.0;12.0;11.0;100;23;33932.0;0.0;0.0;2880.0;22380.0;8700.0;840.0;1942.0;215.0;10258;0.0;12.0;7.0;17.0;1.0;13.0;48.0;0.0;0.0;0;0;12.11111111111111;2.1039980418577136;7.0;23.0;22.516666666666666;16.873211839415095;2;88
10;12;95;98;39;40;46;7.0;18.0;12.0;11.0;11.0;87;12;33120.0;0.0;0.0;3480.0;21240.0;8400.0;60.0;1734.0;7.0;747;0.0;11.0;8.0;16.0;0.0;14.0;45.0;0.0;0.0;0;0;11.165745856353592;1.4375155522759802;7.0;20.0;12.486274509803922;10.75023063332794;2;81
11;13;92;137;40;42;44;7.0;20.0;12.0;11.0;11.0;89;14;31200.0;0.0;0.0;4320.0;19320.0;7560.0;0.0;1962.0;235.0;7742;0.0;11.0;8.0;18.0;0.0;11.0;47.0;0.0;0.0;0;0;11.327327327327327;1.7008400338611354;8.0;18.0;14.5;10.268038210663816;2;77
12;14;92;91;39;42;43;7.0;18.0;12.0;11.0;11.0;87;20;28380.0;0.0;0.0;3840.0;18720.0;5820.0;600.0;1730.0;3.0;603;0.0;11.0;8.0;18.0;0.0;11.0;46.0;0.0;0.0;0;0;11.43652561247216;1.861843435914054;7.0;20.0;19.96551724137931;14.227288527300079;3;75
13;15;81;89;37;40;42;7.0;16.0;11.0;11.0;11.0;75;15;24840.0;0.0;0.0;6180.0;12120.0;6540.0;1020.0;1730.0;3.0;406;0.0;11.0;8.0;15.0;1.0;9.0;44.0;0.0;0.0;0;0;11.28133704735376;1.4304536536362544;8.0;16.0;14.760330578512397;9.145766119207662;1;55
14;16;83;112;39;42;42;6.0;18.0;12.0;11.0;11.0;98;23;23040.0;0.0;0.0;3720.0;14220.0;5100.0;1140.0;1914.0;187.0;11506;0.0;11.0;8.0;15.0;2.0;10.0;46.0;0.0;0.0;0;0;11.773381294964029;1.7234345639857551;7.0;17.0;22.793696275071632;16.265274604838012;4;94
