Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;39;166;43;43;50;6.0;23.0;13.0;15.0;16.0;99;27;25020;0;0;7680;10680;6660;120;2959.0;840.0;13535;0.0;15.0;11.0;21.0;0;5.0;46.0;0.0;0.0;0;0;13.863874345549739;2.155144095291773;7.0;21.0;27.762569832402235;29.81005128546027;1;95
1;1;87;132;46;50;50;6.0;23.0;14.0;16.0;15.0;99;33;14940;0;0;2520;11340;1080;2220;2494.0;375.0;10397;0.0;16.0;11.0;19.0;2;42.0;60.0;0.0;0.0;0;0;14.257188498402556;2.432997550242155;7.0;21.0;32.768261964735515;17.26287203461566;4;97
2;2;83;193;42;43;48;8.0;22.0;14.0;15.0;15.0;99;31;26400;0;0;6180;14640;5580;0;3337.0;1218.0;20436;0.0;15.0;9.0;20.0;0;14.0;47.0;0.0;0.0;0;0;14.539543057996486;2.275165951650224;8.0;21.0;31.3757225433526;27.80792688943812;1;97
3;3;58;135;47;48;48;7.0;21.0;14.0;15.0;15.0;99;35;25080;0;0;4500;14820;5760;120;2776.0;657.0;7914;0.0;15.0;11.0;20.0;0;15.0;51.0;0.0;0.0;0;0;14.495164410058027;2.192495513880289;7.0;20.0;35.275;25.19435700707601;4;99
4;4;88;191;49;51;49;8.0;23.0;14.0;15.0;15.0;94;35;18540;0;0;3300;13740;1500;420;3021.0;902.0;17872;0.0;15.0;11.0;19.0;0;28.0;55.0;0.0;0.0;0;0;14.48091603053435;2.094526290659085;9.0;23.0;34.24901185770751;21.661728537060426;8;89
5;5;87;103;39;42;48;7.0;22.0;15.0;15.0;14.0;96;22;26367;0;0;4080;16260;6060;0;2280.0;161.0;5446;0.0;15.0;11.0;20.0;0;6.0;47.0;0.0;0.0;0;0;14.68;2.1892886094310673;7.0;21.0;22.02415458937198;18.51789566970484;1;91
6;6;83;121;41;41;45;8.0;23.0;15.0;14.0;15.0;81;22;25320;0;0;5040;14100;6180;0;2432.0;313.0;9966;0.0;14.0;10.0;18.0;0;8.0;45.0;0.0;0.0;0;0;14.587662337662337;2.20583134847889;7.0;23.0;22.452442159383033;17.94853899002575;1;69
7;7;81;182;41;43;45;9.0;22.0;15.0;15.0;15.0;99;24;23400;0;0;5400;12360;5640;360;3066.0;947.0;18248;0.0;15.0;11.0;18.0;0;8.0;47.0;0.0;0.0;0;0;15.043782837127846;2.097411226074683;9.0;22.0;24.37883008356546;19.32499349447905;1;98
8;8;84;108;44;45;45;7.0;21.0;14.0;15.0;14.0;88;24;22542;0;0;5280;11940;5340;60;2386.0;267.0;7645;0.0;15.0;10.0;18.0;0;9.0;48.0;0.0;0.0;0;0;14.233552631578947;2.037007740953284;8.0;21.0;23.362467866323907;16.609834794617747;2;83
9;9;65;172;41;42;45;7.0;22.0;15.0;14.0;14.0;98;23;24780;0;0;7020;12360;5400;720;3123.0;1004.0;19242;0.0;14.0;10.0;18.0;1;5.0;45.0;0.0;0.0;0;0;14.398972602739725;2.056579561407746;7.0;20.0;23.565217391304348;22.007807087005013;1;93
10;10;70;126;43;45;44;7.0;22.0;13.0;14.0;14.0;89;25;18360;0;0;6240;9600;2520;120;2658.0;539.0;12717;0.0;14.0;10.0;17.0;0;14.0;48.0;0.0;0.0;0;0;13.923076923076923;2.2387433814292375;8.0;21.0;24.591036414565828;16.09741800515995;1;85
11;11;93;134;41;43;43;6.0;21.0;13.0;14.0;14.0;99;20;19260;0;0;4260;11520;3480;240;2397.0;278.0;6390;0.0;14.0;10.0;18.0;0;11.0;46.0;0.0;0.0;0;0;13.595057034220533;2.3491553163146004;6.0;20.0;20.018575851393187;18.761983872679185;1;99
12;12;74;187;40;42;43;7.0;23.0;14.0;14.0;15.0;99;22;27420;0;0;5220;15480;6720;300;3067.0;948.0;18298;0.0;14.0;10.0;17.0;0;7.0;46.0;0.0;0.0;0;0;13.87136929460581;2.1835032646586585;7.0;25.0;22.387417218543046;23.106983562458556;1;95
13;13;84;101;43;46;44;6.0;23.0;14.0;15.0;14.0;76;21;21000;1800;0;2880;13440;4680;900;2361.0;242.0;6206;0.0;15.0;10.0;18.0;1;11.0;48.0;58.28611111111111;9.859503390068154;43;101;14.255742725880552;2.1009335651060463;8.0;21.0;21.25943396226415;12.072448582368901;2;75
14;14;69;190;40;40;43;6.0;23.0;15.0;14.0;14.0;98;22;23940;0;840;7860;9420;6660;120;3458.0;1339.0;21816;0.0;14.0;8.0;18.0;0;6.0;45.0;0.0;0.0;0;0;14.37696335078534;2.123818187427237;8.0;23.0;21.501408450704226;20.482128884714825;1;94
15;15;78;108;44;47;44;8.0;20.0;15.0;14.0;14.0;92;25;18476;0;0;2100;13680;2700;420;2464.0;345.0;7049;0.0;14.0;9.0;18.0;0;10.0;49.0;0.0;0.0;0;0;14.47261663286004;2.0993963802355347;8.0;21.0;25.798107255520506;19.36427153781905;2;88
16;16;83;186;42;44;44;7.0;21.0;14.0;14.0;14.0;97;25;22560;0;0;3660;14700;4200;180;3493.0;1374.0;21667;0.0;14.0;11.0;18.0;0;6.0;46.0;0.0;0.0;0;0;13.925042589437819;2.1804075209236187;7.0;21.0;24.605042016806724;20.84525558635392;1;96
17;17;90;101;43;45;44;7.0;20.0;13.0;14.0;14.0;83;22;24356;1320;0;5940;14220;4200;120;2359.0;240.0;6849;0.0;14.0;6.0;18.0;0;9.0;47.0;0.0;0.0;0;0;13.6801872074883;2.2756385939325177;7.0;20.0;21.813267813267814;15.34803514093872;2;79
18;18;64;94;41;43;44;6.0;21.0;13.0;14.0;14.0;89;18;27655;0;0;4980;17880;4800;240;2237.0;118.0;4263;0.0;14.0;9.0;18.0;0;7.0;45.0;0.0;0.0;0;0;13.54606365159129;2.321692636734256;7.0;20.0;17.790575916230367;12.40495236281937;1;76
19;19;60;108;42;43;44;7.0;22.0;14.0;14.0;15.0;95;21;17820;0;0;7260;7320;3240;60;2272.0;153.0;4492;0.0;14.0;9.0;17.0;0;15.0;46.0;0.0;0.0;0;0;14.336909871244636;2.24951360990486;7.0;21.0;20.5016835016835;13.935185363145193;2;70
20;20;76;102;41;48;44;6.0;21.0;13.0;15.0;15.0;97;24;16285;0;0;5580;7140;3600;120;2388.0;269.0;8034;0.0;15.0;10.0;19.0;0;8.0;45.0;0.0;0.0;0;0;13.609880749574106;2.3586668958997596;7.0;20.0;24.086720867208673;15.045479827211494;2;81
21;21;80;110;42;44;45;7.0;21.0;14.0;15.0;14.0;87;24;22980;0;0;4500;16080;2400;960;2352.0;233.0;6516;0.0;15.0;11.0;18.0;1;8.0;47.0;0.0;0.0;0;0;14.085760517799352;2.2004907854143774;8.0;20.0;23.964912280701753;16.92808826656827;1;82
22;22;78;99;42;44;44;6.0;21.0;13.0;14.0;14.0;82;21;23894;0;0;2640;16500;4800;60;2242.0;123.0;6741;0.0;14.0;10.0;19.0;0;7.0;46.0;0.0;0.0;0;0;13.586709886547812;2.3012965907271075;6.0;21.0;20.552699228791774;13.437101848306916;1;70
23;23;80;112;41;42;44;6.0;23.0;13.0;14.0;14.0;87;20;23392;0;0;5640;13800;3960;1140;2398.0;279.0;8406;0.0;14.0;10.0;17.0;2;7.0;45.0;0.0;0.0;0;0;13.602076124567475;2.1542898012658993;8.0;21.0;19.733333333333334;14.153758825445943;2;72
24;24;60;142;39;41;44;7.0;22.0;14.0;14.0;15.0;96;28;23100;0;0;4980;13860;4260;240;2546.0;427.0;10269;0.0;14.0;11.0;19.0;0;8.0;44.0;0.0;0.0;0;0;13.835504885993485;2.0737171747820144;8.0;21.0;27.867532467532467;22.18178989626835;1;88
25;25;81;106;42;45;44;6.0;23.0;14.0;15.0;15.0;81;23;16980;4560;0;4200;10380;2400;1260;2267.0;148.0;6342;0.0;15.0;11.0;18.0;2;14.0;49.0;0.0;0.0;0;0;14.394545454545455;2.1283299626120162;8.0;22.0;23.216374269005847;15.487024214413092;2;73
26;26;99;188;42;44;44;6.0;22.0;14.0;15.0;14.0;96;30;25200;0;0;5400;15060;4740;1020;2969.0;850.0;13982;0.0;15.0;10.0;20.0;0;17.0;49.0;0.0;0.0;0;0;14.298148148148147;2.265276595059906;7.0;22.0;29.876506024096386;22.538717474215204;2;94
27;27;80;107;42;44;43;8.0;21.0;13.0;14.0;15.0;82;18;29844;0;0;6240;16800;6840;240;2316.0;197.0;6383;0.0;14.0;11.0;18.0;0;7.0;46.0;0.0;0.0;0;0;13.8671875;1.8906475980054427;8.0;20.0;17.938725490196077;12.712648878690848;2;76
28;28;58;191;43;44;43;7.0;20.0;13.0;15.0;15.0;90;23;23340;0;0;5340;13860;4140;60;3403.0;1284.0;21527;0.0;15.0;9.0;19.0;0;9.0;47.0;0.0;0.0;0;0;13.802946593001842;2.0283058119428024;8.0;21.0;23.307926829268293;19.775099780069866;1;87
29;29;70;180;45;47;44;7.0;22.0;14.0;15.0;15.0;91;32;21120;0;900;3300;17220;600;1980;3034.0;915.0;16550;0.0;15.0;10.0;18.0;3;14.0;50.0;0.0;0.0;0;0;14.105734767025089;2.172144295401605;9.0;21.0;31.504225352112677;20.087046043809373;4;86
