Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;61;123;64;67;80;8.0;21.0;14.0;15.0;14.0;100;50;18060.0;0.0;0.0;6300.0;9720.0;2040.0;120.0;2887.0;950.0;6099;0.0;15.0;8.0;20.0;0.0;19.0;73.0;90.2375;13.60781982599221;64;123;14.459234608985025;2.3401477718035446;8.0;20.0;49.60511363636363;26.02730814558564;4;94
1;1;73;133;58;59;73;6.0;22.0;14.0;14.0;13.0;97;45;16620.0;0.0;0.0;3720.0;7380.0;5520.0;0.0;2892.0;955.0;6555;0.0;14.0;10.0;18.0;0.0;8.0;64.0;0.0;0.0;0;0;14.26592356687898;2.44317284975415;7.0;23.0;43.276712328767125;28.066508684536505;1;94
2;2;59;147;64;67;71;8.0;22.0;15.0;13.0;15.0;99;39;21120.0;1800.0;0.0;4020.0;13980.0;3120.0;0.0;3023.0;1086.0;6592;0.0;13.0;9.0;19.0;0.0;15.0;72.0;88.81805555555556;16.67904395732102;64;147;14.011041009463723;2.3126734611160304;8.0;20.0;37.79784366576819;24.743745338077126;4;98
3;3;44;138;62;64;70;7.0;22.0;15.0;15.0;15.0;99;41;16560.0;0.0;0.0;3120.0;9960.0;3480.0;0.0;3171.0;1234.0;8436;0.0;15.0;11.0;19.0;0.0;19.0;72.0;0.0;0.0;0;0;15.124794745484401;2.4254113118731446;7.0;21.0;40.69767441860465;25.555033986154893;6;94
4;4;55;140;62;65;69;7.0;24.0;16.0;15.0;15.0;98;35;15120.0;0.0;0.0;2160.0;10620.0;2340.0;660.0;2573.0;636.0;2056;0.0;15.0;8.0;18.0;1.0;40.0;72.0;0.0;0.0;0;0;15.58867924528302;2.2605442972341683;8.0;22.0;34.43103448275862;24.088423367027485;5;94
5;5;54;146;63;67;69;8.0;23.0;15.0;15.0;14.0;99;35;17621.0;7680.0;0.0;5280.0;11520.0;840.0;120.0;2971.0;1034.0;6650;0.0;15.0;12.0;20.0;0.0;18.0;72.0;0.0;0.0;0;0;15.030981067125646;2.215359596656644;8.0;22.0;34.95882352941177;23.44802911129531;7;99
6;6;80;143;62;66;65;7.0;23.0;14.0;14.0;15.0;99;51;15240.0;0.0;0.0;3540.0;9600.0;2100.0;960.0;3571.0;1634.0;6420;0.0;14.0;9.0;18.0;1.0;14.0;69.0;0.0;0.0;0;0;14.200988467874794;2.6459005645018285;7.0;23.0;50.81012658227848;30.460630722862746;4;97
7;7;77;137;60;61;64;7.0;22.0;14.0;15.0;14.0;99;38;22200.0;0.0;0.0;4200.0;15000.0;3000.0;1020.0;4203.0;2266.0;8486;0.0;15.0;11.0;19.0;1.0;9.0;65.0;0.0;0.0;0;0;14.06830122591944;2.1962937465186085;7.0;20.0;36.65925925925926;35.112235487544574;2;99
8;8;65;135;62;63;65;8.0;23.0;14.0;14.0;15.0;99;45;22680.0;0.0;0.0;5460.0;13920.0;3300.0;1020.0;3324.0;1387.0;8034;0.0;14.0;10.0;18.0;1.0;11.0;68.0;0.0;0.0;0;0;14.437395659432386;2.313278190943684;9.0;21.0;44.73487031700288;29.780929630415674;3;94
9;9;31;138;62;66;65;7.0;22.0;14.0;15.0;16.0;99;42;18420.0;0.0;1620.0;3840.0;11760.0;2820.0;0.0;4509.0;2572.0;13123;0.0;15.0;12.0;19.0;0.0;16.0;72.0;0.0;0.0;0;0;14.45850622406639;2.26724380010871;8.0;21.0;41.089285714285715;29.154929003584996;6;98
10;10;92;129;61;68;65;8.0;23.0;15.0;16.0;14.0;98;40;11160.0;4500.0;0.0;2760.0;8400.0;0.0;240.0;2805.0;868.0;3116;0.0;16.0;10.0;21.0;0.0;37.0;83.0;0.0;0.0;0;0;15.196638655462184;2.4781374400850193;9.0;23.0;39.011730205278596;17.912131006174075;6;97
11;11;58;133;59;62;65;7.0;22.0;15.0;14.0;15.0;99;34;27360.0;0.0;0.0;6540.0;14700.0;6120.0;600.0;3130.0;1193.0;11901;0.0;14.0;9.0;18.0;1.0;11.0;68.0;0.0;0.0;0;0;14.686046511627907;2.619670497832984;7.0;21.0;33.52076677316294;29.71225772029078;2;98
12;12;65;130;59;60;64;7.0;23.0;14.0;15.0;15.0;98;53;17880.0;0.0;0.0;3300.0;12000.0;2580.0;2460.0;3230.0;1293.0;5942;0.0;15.0;9.0;18.0;3.0;23.0;68.0;91.62916666666666;15.84236529671136;59;130;14.586921850079746;2.5477928525941644;8.0;22.0;52.70868347338936;31.675247388873057;2;96
13;13;65;146;65;66;64;8.0;21.0;14.0;15.0;15.0;98;48;22020.0;0.0;0.0;4560.0;16200.0;1260.0;360.0;3801.0;1864.0;5630;0.0;15.0;11.0;18.0;0.0;16.0;70.0;0.0;0.0;0;0;14.008503401360544;2.037471039397367;8.0;19.0;47.294520547945204;30.515921693845662;7;97
14;14;63;147;56;60;64;7.0;23.0;13.0;15.0;14.0;99;35;20220.0;0.0;0.0;2760.0;15600.0;1860.0;960.0;4173.0;2236.0;10417;0.0;15.0;10.0;19.0;2.0;16.0;73.0;0.0;0.0;0;0;13.945525291828794;2.4120622254248363;7.0;21.0;31.057971014492754;28.07609607410626;1;98
