Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;1;93;129;51;55;55;7.0;21.0;15.0;0.0;13.0;82;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2466.0;278.0;5683;0.0;13.0;8.0;20.0;1.0;11.0;61.0;74.52333333333333;13.219535628085511;51;129;14.458823529411765;2.3307977655215164;8.0;21.0;23.340740740740742;18.789344089221288;1;81
1;2;43;124;47;50;53;7.0;21.0;14.0;13.0;18.0;99;35;28200.0;0.0;0.0;4980.0;16260.0;6960.0;1260.0;2833.0;645.0;11263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;13.617792421746293;2.171148179695775;8.0;20.0;35.126315789473686;30.543753640091335;1;98
2;3;73;157;47;57;54;7.0;23.0;14.0;18.0;13.0;97;58;19800.0;0.0;0.0;5520.0;12900.0;1380.0;960.0;3152.0;964.0;15814;0.0;18.0;12.0;22.0;0.0;71.0;77.0;0.0;0.0;0;0;15.043402777777779;3.0663708333745383;8.0;22.0;56.79250720461095;20.5843355931618;10;97
3;4;41;148;49;51;53;6.0;22.0;14.0;13.0;15.0;99;40;24900.0;0.0;0.0;5580.0;15660.0;3660.0;360.0;3052.0;864.0;15657;0.0;13.0;8.0;20.0;0.0;26.0;64.0;0.0;0.0;0;0;13.708620689655172;2.495429234224087;7.0;22.0;39.945086705202314;23.901771323299997;3;98
4;5;93;152;60;67;56;6.0;23.0;14.0;15.0;12.0;98;53;23220.0;0.0;0.0;7560.0;15300.0;360.0;2340.0;3194.0;1006.0;9880;0.0;15.0;7.0;22.0;2.0;54.0;73.0;0.0;0.0;0;0;14.363779527559055;2.913170453839628;7.0;22.0;52.20375335120644;17.982603653801842;17;97
5;6;92;123;45;47;55;7.0;20.0;14.0;12.0;13.0;93;18;31410.0;0.0;0.0;4860.0;20220.0;6360.0;0.0;2302.0;114.0;1866;0.0;12.0;8.0;18.0;0.0;10.0;55.0;61.826388888888886;10.576920538180651;45;123;13.450662739322533;2.0566703153660675;8.0;19.0;17.76993166287016;12.969366667240013;1;82
6;7;78;125;43;45;53;6.0;21.0;14.0;13.0;12.0;99;33;27218.0;0.0;0.0;5520.0;15960.0;5760.0;300.0;2920.0;732.0;15494;0.0;13.0;8.0;15.0;0.0;9.0;51.0;0.0;0.0;0;0;13.495606326889279;2.067507016930446;7.0;21.0;32.87605633802817;26.383549424256362;1;94
7;8;83;171;47;49;52;7.0;22.0;15.0;12.0;13.0;95;30;23187.0;0.0;0.0;4560.0;14880.0;3780.0;0.0;3185.0;997.0;16246;0.0;12.0;7.0;16.0;0.0;16.0;55.0;0.0;0.0;0;0;13.65916955017301;2.56603325114723;7.0;22.0;29.745042492917847;18.687913549053338;5;90
8;9;95;122;42;45;52;8.0;20.0;14.0;13.0;13.0;99;28;22380.0;0.0;0.0;6540.0;10440.0;5400.0;0.0;2594.0;406.0;6912;0.0;13.0;8.0;18.0;0.0;12.0;52.0;0.0;0.0;0;0;13.742200328407225;2.0108594554786534;8.0;20.0;28.054545454545455;21.687620177170952;1;97
9;10;76;123;46;47;50;7.0;20.0;14.0;13.0;12.0;99;22;30530.0;0.0;0.0;5820.0;15120.0;9600.0;60.0;2695.0;507.0;10243;0.0;13.0;8.0;18.0;0.0;11.0;52.0;0.0;0.0;0;0;13.638126009693053;2.2295345422112565;8.0;19.0;22.295454545454547;16.379066448448196;2;98
