Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;1;91;92;47;50;50;8.0;22.0;14.0;0.0;16.0;59;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1755.0;1.0;48;0.0;16.0;11.0;22.0;0.0;6.0;51.0;0.0;0.0;0;0;15.303448275862069;2.9250974352908834;8.0;22.0;8.278350515463918;6.405124024876186;1;50
1;2;87;136;43;46;48;6.0;23.0;13.0;16.0;16.0;98;18;35460.0;0.0;0.0;5040.0;24240.0;6180.0;420.0;1815.0;131.0;4769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.325;12.69306186246819;43;136;14.0984375;2.9761548277254914;7.0;23.0;17.487623762376238;14.685054883375551;1;88
2;3;85;161;43;51;51;4.0;22.0;13.0;16.0;16.0;99;11;28560.0;0.0;0.0;7920.0;17220.0;3420.0;480.0;2203.0;519.0;6113;0.0;16.0;10.0;20.0;0.0;15.0;0.0;0.0;0.0;0;0;14.299159663865547;3.1746764752343837;5.0;21.0;11.5858310626703;10.95333753044837;0;98
3;4;89;131;46;48;50;7.0;22.0;13.0;16.0;16.0;99;15;24660.0;0.0;0.0;7560.0;11520.0;5580.0;960.0;1832.0;148.0;5476;0.0;16.0;10.0;20.0;1.0;8.0;0.0;0.0;0.0;0;0;14.439688715953308;2.7912559235456538;8.0;21.0;15.341463414634147;12.993168479116642;1;94
4;5;83;133;41;42;47;5.0;22.0;14.0;16.0;17.0;99;24;29340.0;0.0;0.0;4080.0;19260.0;6000.0;0.0;1992.0;308.0;9298;0.0;16.0;8.0;19.0;0.0;7.0;0.0;0.0;0.0;0;0;14.62652705061082;2.9427571894050852;7.0;21.0;24.238888888888887;18.99177128503842;1;95
5;6;70;144;39;45;47;6.0;24.0;14.0;17.0;17.0;98;22;29280.0;0.0;0.0;5460.0;18840.0;4980.0;1260.0;2080.0;396.0;13726;0.0;17.0;10.0;22.0;2.0;19.0;0.0;0.0;0.0;0;0;14.948892674616696;3.125557335033237;8.0;23.0;21.6123595505618;11.046442512652213;1;94
6;7;80;156;44;49;47;6.0;21.0;13.0;17.0;15.0;92;22;17518.0;0.0;0.0;7740.0;8280.0;1500.0;660.0;1806.0;193.0;8793;0.0;17.0;12.0;20.0;1.0;19.0;0.0;0.0;0.0;0;0;14.348432055749129;3.0882246822231525;7.0;21.0;21.74041297935103;11.327669460426062;2;83
7;8;93;126;40;41;46;7.0;21.0;14.0;15.0;16.0;99;22;25140.0;0.0;0.0;4920.0;15120.0;5100.0;1920.0;1876.0;192.0;5519;0.0;15.0;9.0;20.0;1.0;14.0;0.0;0.0;0.0;0;0;14.469622331691298;2.746452559868163;7.0;20.0;21.821052631578947;21.725308524182438;2;99
8;9;49;129;43;46;46;7.0;25.0;14.0;16.0;16.0;99;22;32520.0;0.0;0.0;5580.0;19740.0;7200.0;240.0;1896.0;212.0;5655;0.0;16.0;7.0;20.0;0.0;14.0;0.0;0.0;0.0;0;0;14.610586011342155;3.3042851019036688;7.0;23.0;21.80654761904762;14.259752885894626;4;91
9;11;82;168;48;49;46;7.0;18.0;12.0;0.0;15.0;67;21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2132.0;448.0;7944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;12.17142857142857;2.761839079678759;7.0;19.0;20.94736842105263;5.529572974951914;9;53
