Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;0;75;114;63;66;74;8.0;24.0;16.0;17.0;15.0;90;34;27774;0;0;4740;18720;4320;840;1946.0;352.0;3213;0.0;17.0;9.0;23.0;0;32.0;75.0;0.0;0.0;0;0;15.942635658914728;2.926721985504238;8.0;23.0;33.85070422535211;17.03543013210282;2;84
1;1;76;128;64;67;71;7.0;23.0;15.0;15.0;15.0;98;35;22215;0;0;4200;13860;4200;0;2011.0;417.0;3204;0.0;15.0;9.0;20.0;0;17.0;71.0;84.46527777777777;12.461559333965818;64;128;15.143076923076922;2.3263354629955098;8.0;21.0;35.36038186157518;19.944468391626476;7;94
2;2;78;128;62;64;70;8.0;23.0;15.0;15.0;15.0;97;31;22440;0;0;4140;14580;3720;120;2045.0;451.0;2899;0.0;15.0;10.0;20.0;0;16.0;71.0;83.51805555555555;12.94055668548486;62;128;15.103915662650602;2.194540672662858;9.0;21.0;31.051643192488264;18.836637949082128;3;96
3;3;68;119;54;58;67;8.0;22.0;15.0;15.0;17.0;96;28;26794;0;540;3780;19200;3840;660;1811.0;217.0;1852;0.0;15.0;9.0;20.0;1;21.0;71.0;0.0;0.0;0;0;14.925619834710744;2.233350850351017;8.0;21.0;28.58244680851064;19.019827570765166;0;94
4;4;77;129;65;67;67;9.0;24.0;15.0;17.0;16.0;97;41;22860;0;0;5340;14520;3000;360;2018.0;424.0;2750;0.0;17.0;12.0;22.0;0;29.0;77.0;0.0;0.0;0;0;16.025291828793776;2.586507645841297;9.0;22.0;41.50617283950617;21.75090374554364;6;96
5;5;79;114;61;64;67;9.0;22.0;16.0;16.0;16.0;95;27;23514;4200;0;6120;13440;3960;1020;1816.0;222.0;2582;0.0;16.0;12.0;20.0;1;16.0;69.0;0.0;0.0;0;0;15.932203389830509;2.0974035416599883;10.0;22.0;26.755501222493887;15.091372081469041;2;94
6;6;77;145;61;64;64;8.0;24.0;15.0;16.0;16.0;98;43;26520;0;0;3780;19320;3420;600;2468.0;874.0;5231;0.0;16.0;11.0;23.0;1;16.0;70.0;0.0;0.0;0;0;15.37221269296741;2.5199818418122755;8.0;23.0;43.00289017341041;31.345040314865436;1;97
7;7;68;136;62;63;64;7.0;23.0;14.0;16.0;16.0;98;39;27420;0;1080;6180;15420;5820;540;2431.0;837.0;5163;0.0;16.0;10.0;22.0;0;29.0;69.0;0.0;0.0;0;0;14.806020066889632;2.2641226522016655;7.0;22.0;39.59340659340659;25.474282667154935;2;94
8;8;74;140;62;64;63;8.0;24.0;15.0;16.0;16.0;96;38;25920;0;0;6060;15840;4020;540;2234.0;640.0;5623;0.0;16.0;12.0;24.0;0;32.0;72.0;0.0;0.0;0;0;15.451669595782073;2.3502312318964242;9.0;23.0;36.74390243902439;18.6667246500615;5;92
9;9;76;153;63;64;63;8.0;23.0;15.0;16.0;17.0;98;39;27079;1260;0;5940;16200;4980;0;2737.0;1143.0;5970;0.0;16.0;12.0;21.0;0;29.0;73.0;0.0;0.0;0;0;15.59468438538206;2.5567002034434436;8.0;22.0;38.26836158192091;24.603724033134437;4;97
