Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;2;84;121.0;58.0;63.0;63.0;7.0;22.0;13.0;0.0;15.0;95.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2244.0;192.0;3133.0;0.0;14.0;11.0;18.0;0.0;7.0;53.0;0.0;0.0;0.0;0.0;13.307317073170731;2.5563302817164884;8.0;20.0;21.410958904109588;17.417386697047164;2;76
1;4;100;110.0;78.0;61.0;58.0;10.0;20.0;15.0;0.0;14.0;96.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2142.0;90.0;2149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.13888888888889;1.9315045629102743;11.0;19.0;76.78260869565217;7.306676647388305;60;91
2;5;94;98.0;48.0;50.0;56.0;7.0;21.0;13.0;14.0;15.0;80.0;17.0;32220.0;0.0;0.0;6720.0;16800.0;8700.0;0.0;2087.0;35.0;1783.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.613065326633166;1.8690900564040545;8.0;21.0;17.483290488431876;14.071351539913728;1;72
3;6;80;98.0;48.0;50.0;55.0;7.0;21.0;13.0;15.0;15.0;86.0;24.0;29160.0;0.0;840.0;5220.0;16740.0;7200.0;1020.0;2152.0;100.0;5051.0;0.0;15.0;10.0;18.0;1.0;12.0;53.0;0.0;0.0;0.0;0.0;13.813021702838064;2.109307789326464;7.0;20.0;23.425414364640883;16.770343973305916;2;71
4;7;83;101.0;45.0;46.0;54.0;6.0;20.0;13.0;15.0;15.0;95.0;22.0;23340.0;0.0;0.0;5460.0;13980.0;3900.0;0.0;2130.0;78.0;2556.0;0.0;15.0;12.0;18.0;0.0;7.0;50.0;0.0;0.0;0.0;0.0;13.99771167048055;2.130200037700438;8.0;19.0;21.641843971631207;18.25982939814647;1;82
5;8;60;119.0;45.0;46.0;52.0;7.0;21.0;13.0;15.0;15.0;99.0;29.0;24960.0;0.0;0.0;7200.0;13140.0;4620.0;1260.0;2196.0;144.0;3769.0;0.0;15.0;10.0;18.0;1.0;8.0;51.0;0.0;0.0;0.0;0.0;13.794871794871796;2.235038649470862;7.0;21.0;29.191358024691358;23.648149759434837;1;97
6;9;83;117.0;46.0;49.0;50.0;6.0;22.0;13.0;15.0;15.0;98.0;40.0;17100.0;0.0;0.0;5700.0;8880.0;2520.0;180.0;2389.0;337.0;6804.0;0.0;15.0;12.0;17.0;0.0;21.0;52.0;0.0;0.0;0.0;0.0;13.785992217898833;2.18522592478487;6.0;20.0;40.46439628482972;26.557860226415205;3;94
7;10;91;131.0;45.0;50.0;50.0;7.0;22.0;14.0;15.0;14.0;94.0;34.0;27300.0;0.0;0.0;5580.0;16140.0;5580.0;420.0;2401.0;349.0;7211.0;0.0;15.0;11.0;18.0;0.0;22.0;54.0;0.0;0.0;0.0;0.0;14.28494623655914;2.4043320924384726;8.0;20.0;33.83236994219653;21.781513443959437;3;88
8;11;43;112.0;47.0;49.0;49.0;7.0;21.0;13.0;14.0;16.0;97.0;21.0;31680.0;0.0;0.0;4200.0;21000.0;6480.0;420.0;2288.0;236.0;5241.0;0.0;14.0;12.0;18.0;1.0;11.0;54.0;0.0;0.0;0.0;0.0;13.81910569105691;1.895062265158958;8.0;19.0;20.952076677316295;21.32693036857853;2;94
9;12;65;109.0;53.0;52.0;49.0;8.0;21.0;14.0;16.0;16.0;82.0;29.0;21420.0;0.0;0.0;4140.0;15180.0;2100.0;6060.0;2118.0;66.0;1605.0;0.0;16.0;10.0;20.0;5.0;37.0;64.0;0.0;0.0;0.0;0.0;14.910843373493975;1.7546504164368104;10.0;20.0;28.598513011152416;10.973547003970216;11;68
10;13;78;127.0;51.0;53.0;49.0;6.0;21.0;13.0;16.0;14.0;99.0;30.0;18450.0;0.0;0.0;5340.0;9360.0;3780.0;120.0;2291.0;239.0;6046.0;0.0;16.0;11.0;18.0;0.0;18.0;56.0;0.0;0.0;0.0;0.0;13.562197092084006;2.5005186576543452;7.0;20.0;29.356608478802993;14.602121680594594;6;87
11;22;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2052.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
12;23;56;135.0;47.0;48.0;52.0;7.0;21.0;13.0;15.0;15.0;99.0;44.0;13800.0;0.0;0.0;6900.0;4320.0;2580.0;0.0;2422.0;370.0;7807.0;0.0;15.0;11.0;18.0;0.0;10.0;52.0;0.0;0.0;0.0;0.0;13.485537190082646;2.2364831639947065;7.0;21.0;44.34983498349835;25.284057350005757;1;95
