Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;2;89;83;59;64;64;6.0;20.0;14.0;0.0;14.0;63;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1951.0;4.0;157;0.0;14.0;10.0;17.0;1.0;17.0;61.0;0.0;0.0;0;0;13.814432989690722;2.4233822190340173;7.0;18.0;16.0327868852459;8.803812909272173;3;57
1;3;88;142;57;58;61;8.0;21.0;14.0;14.0;13.0;90;21;29820.0;0.0;0.0;8700.0;12600.0;8520.0;1440.0;2642.0;695.0;15565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.85694444444445;15.636685198497588;57;142;13.889447236180905;2.024433464016799;9.0;21.0;21.547169811320753;9.932918470848463;2;85
2;4;78;105;54;55;59;7.0;21.0;15.0;13.0;14.0;84;22;32913.0;0.0;0.0;6600.0;17280.0;9060.0;1080.0;2062.0;115.0;3301;0.0;13.0;10.0;18.0;1.0;19.0;59.0;68.26527777777778;9.981672924278973;54;105;14.140866873065015;1.9727952833366258;9.0;19.0;21.56122448979592;10.25199465562639;4;76
3;5;78;103;56;59;59;7.0;20.0;13.0;14.0;13.0;88;25;25380.0;0.0;0.0;4860.0;15600.0;4920.0;300.0;2121.0;174.0;4006;0.0;14.0;10.0;19.0;0.0;23.0;65.0;70.32777777777778;9.218237090774373;56;103;13.513137557959814;2.0585098115233955;8.0;19.0;24.321695760598505;12.966242497575855;8;86
4;6;75;170;52;53;58;7.0;20.0;13.0;13.0;14.0;90;23;22980.0;0.0;0.0;5220.0;12180.0;5580.0;120.0;2731.0;784.0;10936;0.0;13.0;10.0;18.0;0.0;18.0;57.0;73.64166666666667;18.87331854173446;52;170;13.238255033557047;1.992506004148701;8.0;20.0;22.272;11.006937933261305;3;77
5;7;81;100;55;57;58;7.0;23.0;13.0;14.0;13.0;88;18;21642.0;0.0;0.0;6180.0;9720.0;5760.0;0.0;2059.0;112.0;3960;0.0;14.0;9.0;19.0;0.0;20.0;60.0;65.85694444444445;7.810273262911998;55;100;13.182908545727136;2.2761672318830586;7.0;21.0;18.057007125890735;6.650528496667378;4;83
6;8;80;184;50;52;57;7.0;22.0;13.0;13.0;13.0;98;29;24180.0;0.0;0.0;6900.0;9960.0;7320.0;0.0;2998.0;1051.0;12730;0.0;13.0;9.0;19.0;0.0;16.0;57.0;76.69166666666666;20.91535686470058;50;184;13.242937853107344;1.992292595754503;8.0;21.0;28.85928143712575;18.86481899968439;5;94
7;9;90;139;53;55;56;7.0;21.0;13.0;13.0;12.0;94;25;23811.0;0.0;0.0;5520.0;12120.0;6180.0;180.0;2467.0;520.0;13346;0.0;13.0;10.0;19.0;0.0;19.0;60.0;0.0;0.0;0;0;13.331807780320366;2.050220656681527;8.0;22.0;24.67017543859649;11.74659286043704;9;83
8;10;65;148;52;55;55;7.0;20.0;14.0;12.0;12.0;92;21;28080.0;0.0;0.0;5640.0;17100.0;5340.0;720.0;2500.0;553.0;3150;0.0;12.0;8.0;16.0;0.0;15.0;59.0;0.0;0.0;0;0;13.01858108108108;1.8585065604720772;7.0;20.0;21.764705882352942;12.15445321414687;4;89
9;11;80;135;53;54;55;7.0;21.0;14.0;12.0;12.0;99;25;18360.0;0.0;0.0;6420.0;9000.0;2940.0;660.0;2286.0;339.0;7690;0.0;12.0;8.0;16.0;1.0;18.0;59.0;71.11944444444444;11.315042088703683;53;135;13.557404326123129;2.211101001428261;7.0;20.0;25.395833333333332;12.751208412233808;4;99
10;12;87;144;51;53;54;7.0;22.0;14.0;12.0;13.0;96;30;22380.0;0.0;0.0;5940.0;10080.0;6360.0;420.0;2600.0;653.0;8044;0.0;12.0;8.0;16.0;0.0;13.0;56.0;73.91805555555555;18.004403985853084;51;144;13.467445742904841;2.1391942970142686;7.0;19.0;28.926829268292682;22.695762315327322;3;90
11;13;63;104;51;52;54;7.0;20.0;13.0;13.0;12.0;81;19;29220.0;0.0;0.0;8340.0;14640.0;6240.0;2400.0;2046.0;99.0;3462;0.0;13.0;7.0;18.0;1.0;15.0;57.0;65.10277777777777;9.129499989688833;51;104;12.854765506807867;1.8839466286567577;7.0;18.0;19.424593967517403;9.887452418210497;5;66
12;14;62;92;52;53;53;7.0;19.0;14.0;12.0;13.0;77;19;17460.0;0.0;0.0;5580.0;6420.0;5460.0;120.0;2017.0;70.0;2095;0.0;12.0;9.0;16.0;0.0;11.0;56.0;0.0;0.0;0;0;13.350983358547655;1.9651163041870479;8.0;19.0;18.77674418604651;10.868406040666303;2;69
13;15;81;149;54;55;54;7.0;23.0;13.0;13.0;13.0;99;32;19980.0;0.0;0.0;4800.0;13560.0;1620.0;1740.0;3329.0;1382.0;28808;0.0;13.0;9.0;21.0;3.0;19.0;60.0;79.67361111111111;19.73302007814113;54;149;13.476190476190476;2.207362448623206;8.0;30.0;30.546031746031748;14.593549623109753;5;90
