Unnamed: 0;day;label;hr_maxHeartRate;hr_minHeartRate;hr_restingHeartRate;hr_lastSevenDaysAvgRestingHeartRate;resp_lowestRespirationValue;resp_highestRespirationValue;resp_avgWakingRespirationValue;resp_avgSleepRespirationValue;resp_avgTomorrowSleepRespirationValue;str_maxStressLevel;str_avgStressLevel;sleep_sleepTimeSeconds;sleep_napTimeSeconds;sleep_unmeasurableSleepSeconds;sleep_deepSleepSeconds;sleep_lightSleepSeconds;sleep_remSleepSeconds;sleep_awakeSleepSeconds;act_totalCalories;act_activeKilocalories;act_distance;act_activeTime;sleep_averageRespirationValue;sleep_lowestRespirationValue;sleep_highestRespirationValue;sleep_awakeCount;sleep_avgSleepStress;sleep_avgHeartRate;hr_time_series_mean;hr_time_series_std;hr_time_series_min;hr_time_series_max;resp_time_series_mean;resp_time_series_std;resp_time_series_min;resp_time_series_max;stress_time_series_mean;stress_time_series_std;stress_time_series_min;stress_time_series_max
0;1;51;135;46;60;60;7.0;24.0;16.0;0.0;20.0;97;31;0.0;2820;0.0;0.0;0.0;0.0;0.0;3028.0;793.0;4613;0.0;20.0;15.0;24.0;0.0;14.0;69.0;0.0;0.0;0;0;16.044609665427508;3.062827061066823;7.0;23.0;31.163265306122447;27.85410015527741;1;97
1;2;70;138;55;60;60;8.0;24.0;16.0;20.0;19.0;99;31;13620.0;4320;0.0;3540.0;7080.0;3000.0;60.0;3762.0;1527.0;11355;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.03888888888889;18.00990896666761;55;138;16.957841483979763;3.114440618490534;8.0;24.0;30.03206997084548;24.137642670202997;1;98
2;3;41;151;60;64;61;7.0;25.0;16.0;19.0;19.0;99;36;22500.0;0;0.0;5220.0;13800.0;3480.0;1920.0;4136.0;1901.0;11023;0.0;19.0;14.0;24.0;3.0;26.0;72.0;88.16666666666667;20.517539921843564;60;151;16.6815834767642;2.9697537068788114;7.0;24.0;34.713432835820896;22.997630608146842;6;98
3;4;85;157;61;64;62;8.0;25.0;18.0;19.0;18.0;99;30;12120.0;0;0.0;4560.0;6540.0;1020.0;3300.0;3870.0;1635.0;10686;0.0;19.0;15.0;23.0;3.0;22.0;73.0;86.9875;19.937293624846212;61;157;17.287394957983192;2.948822714004699;8.0;24.0;28.59025787965616;19.18246026665824;7;97
4;5;86;118;53;55;61;9.0;24.0;17.0;18.0;18.0;92;23;26580.0;0;0.0;4680.0;18540.0;3360.0;120.0;2357.0;122.0;970;0.0;18.0;15.0;23.0;0.0;5.0;59.0;71.11666666666666;11.677506868619973;53;118;17.47267355982275;2.028141912494833;10.0;23.0;22.793181818181818;18.66219924835023;1;88
5;6;41;138;53;56;60;9.0;25.0;16.0;18.0;19.0;99;30;27540.0;0;0.0;4860.0;18120.0;4560.0;960.0;2720.0;485.0;6969;0.0;18.0;13.0;23.0;1.0;13.0;61.0;74.29861111111111;14.350706458177083;53;138;17.24357034795764;2.2997023993411148;10.0;23.0;30.633802816901408;22.151467126744045;2;94
6;7;66;119;57;61;60;8.0;25.0;16.0;19.0;19.0;99;35;12600.0;7320;0.0;5760.0;6420.0;420.0;660.0;2691.0;456.0;7693;0.0;19.0;14.0;22.0;0.0;22.0;68.0;77.11944444444444;11.089141822432639;57;119;16.996965098634295;2.8090450940147433;8.0;23.0;34.155660377358494;18.661693082752304;7;92
7;8;57;137;59;62;60;8.0;24.0;16.0;19.0;19.0;96;33;21660.0;0;0.0;6300.0;13560.0;1800.0;840.0;2920.0;685.0;8589;0.0;19.0;12.0;23.0;0.0;24.0;67.0;78.41666666666667;12.923009195487971;59;137;17.097244732576986;2.7221896623141486;9.0;23.0;32.12596401028278;16.295537560300595;9;93
8;9;15;145;60;63;61;7.0;25.0;17.0;19.0;18.0;100;47;18960.0;2580;0.0;5220.0;12480.0;1260.0;5460.0;4181.0;1946.0;8050;0.0;19.0;11.0;23.0;3.0;23.0;70.0;0.0;0.0;0;0;17.461290322580645;3.1617856754764833;9.0;24.0;46.02593659942363;23.70743670156089;15;97
9;10;55;132;58;64;61;7.0;23.0;13.0;18.0;19.0;93;52;300.0;0;0.0;0.0;300.0;0.0;0.0;3589.0;1354.0;19440;0.0;18.0;17.0;19.0;0.0;54.0;74.0;87.23194444444445;11.17575906431327;58;132;14.835920177383592;3.00327171676404;6.0;21.0;51.25595238095238;18.019664200603028;6;92
